Month,Name,Placement,Type,Viewed,Impression Rate,Products Clicked,CTR,Conversion Rate,AOV,Revenue,Rev Per Click,Revenue Per View
08/2025,COMPLETE THE LOOK,product-page,cross-sell,140693,66.04%,5583,3.97%,0.20%,$80.58,"$9,918.19",$1.78,$0.07
08/2025,Customers Also Bought,product-page,cross-sell,105083,35.13%,2423,2.31%,0.12%,$69.84,"$4,576.54",$1.89,$0.04
08/2025,Side Cart,cart-page,cart-cross-sell,21060,5.81%,2943,13.97%,5.55%,$68.59,"$39,587.05",$13.45,$1.88
08/2025,Homepage Recs for You,home-page,session,8253,33.88%,409,4.96%,0.39%,$67.20,"$1,342.99",$3.28,$0.16
08/2025,View Cart,cart-page,cart-cross-sell,1979,32.70%,451,22.79%,1.72%,$90.96,$890.77,$1.98,$0.45
08/2025,$10 Off Kimono Promo,home-page,custom,1727,47.30%,27,1.56%,0.41%,$119.28,$479.93,$17.78,$0.28
08/2025,Customers Also Viewed,product-page,similar,5,50.00%,0,0.00%,0.00%,$0.00,$0.00,,$0.00
08/2025,Bundle,product-page,bundle,2,15.38%,1,50.00%,0.00%,$0.00,$0.00,$0.00,$0.00
08/2025,Home,home-page,session,2,20.00%,0,0.00%,0.00%,$0.00,$0.00,,$0.00
09/2025,COMPLETE THE LOOK,product-page,cross-sell,89925,50.08%,6646,7.39%,0.30%,$76.64,"$9,232.20",$1.39,$0.10
09/2025,Customers Also Bought,product-page,cross-sell,39215,16.82%,2372,6.05%,0.12%,$69.65,"$1,898.55",$0.80,$0.05
09/2025,Side Cart,cart-page,cart-cross-sell,9914,4.35%,2768,27.92%,3.66%,$71.99,"$11,102.73",$4.01,$1.12
09/2025,Homepage Recs for You,home-page,session,3611,17.16%,399,11.05%,0.42%,$74.93,$488.65,$1.22,$0.14
09/2025,View Cart,cart-page,cart-cross-sell,1453,29.81%,547,37.65%,2.62%,$73.92,"$1,098.09",$2.01,$0.76
09/2025,Customers Also Viewed,product-page,similar,19,40.43%,6,31.58%,0.00%,$0.00,$0.00,$0.00,$0.00
09/2025,$10 Off Kimono Promo,home-page,custom,12,66.67%,0,0.00%,0.00%,$0.00,$0.00,,$0.00
09/2025,Home,home-page,session,1,33.33%,0,0.00%,0.00%,$0.00,$0.00,,$0.00
